,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad,año
187,6,Simple,Sin especificar,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
188,2,Simple,Mujer,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
189,10,Simple,Varón,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
190,2,Sin especificar,Varón,35 a 39,Sin especificar,Sin especificar,Sin especificar,3,2022
191,86,Simple,Varón,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
192,30,Simple,Varón,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,6,2022
193,22,Simple,Varón,Menor de 15,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
194,22,Simple,Mujer,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,6,2022
195,18,Múltiple,Mujer,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
196,6,Simple,Varón,35 a 39,Sin especificar,Sin especificar,2500 gramos y más,5,2022
197,90,Múltiple,Mujer,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
198,74,Simple,Mujer,30 a 34,37 a 41,Sin especificar,Menos de 2500 gramos,2,2022
199,22,Simple,Varón,20 a 24,32 a 36,Sin especificar,2500 gramos y más,2,2022
200,42,Simple,Varón,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,16,2022
201,70,Múltiple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,5,2022
202,2,Sin especificar,Varón,20 a 24,32 a 36,Sin especificar,2500 gramos y más,1,2022
203,30,Simple,Mujer,Menor de 15,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,8,2022
204,18,Simple,Varón,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,7,2022
205,22,Múltiple,Mujer,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
206,74,Simple,Mujer,40 a 44,37 a 41,Sin especificar,2500 gramos y más,8,2022
207,66,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,6,2022
208,70,Simple,Varón,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
209,74,Simple,Mujer,40 a 44,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
210,66,Múltiple,Mujer,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,12,2022
211,66,Simple,Varón,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,9,2022
212,50,Múltiple,Mujer,30 a 34,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
213,14,Simple,Varón,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,41,2022
214,90,Simple,Varón,20 a 24,37 a 41,Sin especificar,Menos de 2500 gramos,1,2022
215,58,Simple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,9,2022
216,42,Simple,Varón,35 a 39,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
217,62,Múltiple,Varón,25 a 29,37 a 41,Sin especificar,2500 gramos y más,2,2022
218,62,Simple,Varón,30 a 34,32 a 36,Sin especificar,2500 gramos y más,4,2022
219,38,Simple,Varón,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,3,2022
220,90,Múltiple,Mujer,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
221,34,Simple,Varón,De 45 y más,32 a 36,Sin especificar,2500 gramos y más,1,2022
222,82,Simple,Varón,20 a 24,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5,2022
223,58,Simple,Varón,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,84,2022
224,6,Simple,Mujer,30 a 34,28 a 31,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
225,62,Simple,Mujer,15 a 19,32 a 36,Sin especificar,2500 gramos y más,1,2022
226,18,Múltiple,Mujer,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
227,14,Simple,Varón,20 a 24,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,6,2022
228,82,Simple,Mujer,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
229,6,Simple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,58,2022
230,90,Simple,Varón,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,14,2022
231,14,Simple,Varón,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,35,2022
232,14,Simple,Varón,40 a 44,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
233,90,Múltiple,Varón,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
234,2,Simple,Varón,40 a 44,37 a 41,Sin especificar,2500 gramos y más,46,2022
235,62,Simple,Varón,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
236,58,Simple,Varón,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
237,18,Simple,Mujer,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,14,2022
238,2,Simple,Varón,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,74,2022
239,66,Simple,Mujer,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,11,2022
240,62,Simple,Mujer,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,8,2022
241,18,Simple,Varón,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,29,2022
242,78,Múltiple,Mujer,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
243,2,Simple,Mujer,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,182,2022
