,cobertura,edad,varon,mujer,total,provincia
293,Prepaga sólo por contratación voluntaria,67,2036,2696,4732,Ciudad Autónoma de Buenos Aires
294,Prepaga sólo por contratación voluntaria,68,1888,2432,4320,Ciudad Autónoma de Buenos Aires
295,Prepaga sólo por contratación voluntaria,69,1559,2137,3696,Ciudad Autónoma de Buenos Aires
296,Prepaga sólo por contratación voluntaria,70,1687,2489,4176,Ciudad Autónoma de Buenos Aires
297,Prepaga sólo por contratación voluntaria,71,1599,1901,3500,Ciudad Autónoma de Buenos Aires
298,Prepaga sólo por contratación voluntaria,72,1433,1882,3315,Ciudad Autónoma de Buenos Aires
299,Prepaga sólo por contratación voluntaria,73,1357,1983,3340,Ciudad Autónoma de Buenos Aires
300,Prepaga sólo por contratación voluntaria,74,1154,1961,3115,Ciudad Autónoma de Buenos Aires
301,Prepaga sólo por contratación voluntaria,75,1270,1923,3193,Ciudad Autónoma de Buenos Aires
302,Prepaga sólo por contratación voluntaria,76,648,1614,2262,Ciudad Autónoma de Buenos Aires
303,Prepaga sólo por contratación voluntaria,77,1134,1444,2578,Ciudad Autónoma de Buenos Aires
304,Prepaga sólo por contratación voluntaria,78,1019,1602,2621,Ciudad Autónoma de Buenos Aires
305,Prepaga sólo por contratación voluntaria,79,1030,1778,2808,Ciudad Autónoma de Buenos Aires
306,Prepaga sólo por contratación voluntaria,80,877,1861,2738,Ciudad Autónoma de Buenos Aires
307,Prepaga sólo por contratación voluntaria,81,791,1459,2250,Ciudad Autónoma de Buenos Aires
308,Prepaga sólo por contratación voluntaria,82,950,1463,2413,Ciudad Autónoma de Buenos Aires
309,Prepaga sólo por contratación voluntaria,83,634,1400,2034,Ciudad Autónoma de Buenos Aires
